,group_10yr,population,sex,year,zip
0,Under 10,1031,Male,2030,91901
1,10 to 19,1454,Male,2030,91901
2,20 to 29,929,Male,2030,91901
3,30 to 39,926,Male,2030,91901
4,40 to 49,1214,Male,2030,91901
5,50 to 59,1306,Male,2030,91901
6,Under 10,861,Female,2012,91901
7,10 to 19,1236,Female,2012,91901
8,20 to 29,912,Female,2012,91901
9,30 to 39,818,Female,2012,91901
10,40 to 49,1238,Female,2012,91901
11,50 to 59,1505,Female,2012,91901
12,60 to 69,1093,Female,2012,91901
13,70 to 79,579,Female,2012,91901
14,80+,404,Female,2012,91901
15,Total Population,8646,Female,2012,91901
16,Under 10,871,Male,2012,91901
17,10 to 19,1453,Male,2012,91901
18,20 to 29,1062,Male,2012,91901
19,30 to 39,796,Male,2012,91901
20,40 to 49,1159,Male,2012,91901
21,50 to 59,1476,Male,2012,91901
22,60 to 69,1082,Male,2012,91901
23,70 to 79,531,Male,2012,91901
24,80+,295,Male,2012,91901
25,Total Population,8725,Male,2012,91901
26,Total Population,17371,Total,2012,91901
27,Under 10,928,Female,2020,91901
28,10 to 19,1066,Female,2020,91901
29,20 to 29,832,Female,2020,91901
30,30 to 39,928,Female,2020,91901
31,40 to 49,1110,Female,2020,91901
32,50 to 59,1326,Female,2020,91901
33,60 to 69,1404,Female,2020,91901
34,70 to 79,857,Female,2020,91901
35,80+,431,Female,2020,91901
36,Total Population,8882,Female,2020,91901
37,Under 10,988,Male,2020,91901
38,10 to 19,1246,Male,2020,91901
39,20 to 29,1023,Male,2020,91901
40,30 to 39,847,Male,2020,91901
41,40 to 49,995,Male,2020,91901
42,50 to 59,1394,Male,2020,91901
43,60 to 69,1372,Male,2020,91901
44,70 to 79,848,Male,2020,91901
45,80+,291,Male,2020,91901
46,Total Population,9004,Male,2020,91901
47,Total Population,17886,Total,2020,91901
48,Under 10,998,Female,2025,91901
49,10 to 19,1224,Female,2025,91901
50,20 to 29,791,Female,2025,91901
51,30 to 39,966,Female,2025,91901
52,40 to 49,1306,Female,2025,91901
53,50 to 59,1274,Female,2025,91901
54,60 to 69,1527,Female,2025,91901
55,70 to 79,1121,Female,2025,91901
56,80+,523,Female,2025,91901
57,Total Population,9730,Female,2025,91901
58,Under 10,1052,Male,2025,91901
59,10 to 19,1364,Male,2025,91901
60,20 to 29,962,Male,2025,91901
61,30 to 39,891,Male,2025,91901
62,40 to 49,1129,Male,2025,91901
63,50 to 59,1314,Male,2025,91901
64,60 to 69,1515,Male,2025,91901
65,70 to 79,1110,Male,2025,91901
66,80+,372,Male,2025,91901
67,Total Population,9709,Male,2025,91901
68,Total Population,19439,Total,2025,91901
69,Under 10,988,Female,2030,91901
