,occupied,unit_type,units,unoccupied,vacancy_rate,year,zip
0,8330,Total Units,9301,971,0.1044,2050,91901
1,4763,Single Family - Detached,5411,648,0.11976,2012,91901
2,1290,Multifamily,767,-523,-0.68188,2012,91901
3,234,Mobile Home,254,20,0.07874,2012,91901
4,6287,Total Units,6432,145,0.02254,2012,91901
5,5348,Single Family - Detached,6127,779,0.12714,2020,91901
6,766,Multifamily,766,0,0.0,2020,91901
7,234,Mobile Home,254,20,0.07874,2020,91901
8,6348,Total Units,7147,799,0.1118,2020,91901
9,5923,Single Family - Detached,6623,700,0.10569,2025,91901
10,738,Multifamily,738,0,0.0,2025,91901
11,234,Mobile Home,254,20,0.07874,2025,91901
12,6895,Total Units,7615,720,0.09455,2025,91901
13,6315,Single Family - Detached,7079,764,0.10792,2030,91901
14,703,Multifamily,704,1,0.00142,2030,91901
15,233,Mobile Home,254,21,0.08268,2030,91901
16,7251,Total Units,8037,786,0.0978,2030,91901
17,6764,Single Family - Detached,7513,749,0.09969,2035,91901
18,665,Multifamily,665,0,0.0,2035,91901
19,233,Mobile Home,254,21,0.08268,2035,91901
20,7662,Total Units,8432,770,0.09132,2035,91901
21,6808,Single Family - Detached,7618,810,0.10633,2040,91901
22,726,Multifamily,729,3,0.00412,2040,91901
23,234,Mobile Home,254,20,0.07874,2040,91901
24,7768,Total Units,8601,833,0.09685,2040,91901
25,6856,Single Family - Detached,7757,901,0.11615,2045,91901
26,948,Multifamily,953,5,0.00525,2045,91901
27,233,Mobile Home,254,21,0.08268,2045,91901
28,8037,Total Units,8964,927,0.10341,2045,91901
29,6955,Single Family - Detached,7896,941,0.11917,2050,91901
30,1150,Multifamily,1157,7,0.00605,2050,91901
31,225,Mobile Home,248,23,0.09274,2050,91901
32,6493,Total Units,6752,259,0.03836,2045,91902
33,4999,Single Family - Detached,5209,210,0.04031,2012,91902
34,784,Multifamily,793,9,0.01135,2012,91902
35,0,Mobile Home,0,0,,2012,91902
36,5783,Total Units,6002,219,0.03649,2012,91902
37,5134,Single Family - Detached,5372,238,0.0443,2020,91902
38,781,Multifamily,789,8,0.01014,2020,91902
39,0,Mobile Home,0,0,,2020,91902
40,5915,Total Units,6161,246,0.03993,2020,91902
41,5231,Single Family - Detached,5441,210,0.0386,2025,91902
42,765,Multifamily,773,8,0.01035,2025,91902
43,0,Mobile Home,0,0,,2025,91902
44,5996,Total Units,6214,218,0.03508,2025,91902
45,5321,Single Family - Detached,5518,197,0.0357,2030,91902
46,765,Multifamily,773,8,0.01035,2030,91902
47,0,Mobile Home,0,0,,2030,91902
48,6086,Total Units,6291,205,0.03259,2030,91902
49,5326,Single Family - Detached,5518,192,0.0348,2035,91902
50,765,Multifamily,773,8,0.01035,2035,91902
51,0,Mobile Home,0,0,,2035,91902
52,6091,Total Units,6291,200,0.03179,2035,91902
53,5210,Single Family - Detached,5436,226,0.04157,2040,91902
54,1107,Multifamily,1118,11,0.00984,2040,91902
55,0,Mobile Home,0,0,,2040,91902
56,6317,Total Units,6554,237,0.03616,2040,91902
57,5142,Single Family - Detached,5388,246,0.04566,2045,91902
58,1351,Multifamily,1364,13,0.00953,2045,91902
59,0,Mobile Home,0,0,,2045,91902
60,5166,Single Family - Detached,5420,254,0.04686,2050,91902
61,1350,Multifamily,1364,14,0.01026,2050,91902
62,0,Mobile Home,0,0,,2050,91902
63,6516,Total Units,6784,268,0.0395,2050,91902
64,583,Single Family - Detached,672,89,0.13244,2012,91905
65,35,Multifamily,38,3,0.07895,2012,91905
66,24,Mobile Home,27,3,0.11111,2012,91905
67,642,Total Units,737,95,0.1289,2012,91905
68,639,Single Family - Detached,754,115,0.15252,2020,91905
69,38,Multifamily,38,0,0.0,2020,91905
70,25,Mobile Home,27,2,0.07407,2020,91905
71,702,Total Units,819,117,0.14286,2020,91905
72,685,Single Family - Detached,784,99,0.12628,2025,91905
73,38,Multifamily,38,0,0.0,2025,91905
74,24,Mobile Home,27,3,0.11111,2025,91905
75,747,Total Units,849,102,0.12014,2025,91905
76,736,Single Family - Detached,846,110,0.13002,2030,91905
77,38,Multifamily,38,0,0.0,2030,91905
78,24,Mobile Home,27,3,0.11111,2030,91905
79,798,Total Units,911,113,0.12404,2030,91905
80,745,Single Family - Detached,849,104,0.1225,2035,91905
81,38,Multifamily,38,0,0.0,2035,91905
82,25,Mobile Home,27,2,0.07407,2035,91905
83,808,Total Units,914,106,0.11597,2035,91905
84,757,Single Family - Detached,861,104,0.12079,2040,91905
85,38,Multifamily,38,0,0.0,2040,91905
86,25,Mobile Home,27,2,0.07407,2040,91905
87,820,Total Units,926,106,0.11447,2040,91905
88,752,Single Family - Detached,863,111,0.12862,2045,91905
89,38,Multifamily,38,0,0.0,2045,91905
90,25,Mobile Home,27,2,0.07407,2045,91905
91,815,Total Units,928,113,0.12177,2045,91905
92,750,Single Family - Detached,865,115,0.13295,2050,91905
93,38,Multifamily,38,0,0.0,2050,91905
94,24,Mobile Home,27,3,0.11111,2050,91905
95,812,Total Units,930,118,0.12688,2050,91905
96,1258,Single Family - Detached,1278,20,0.01565,2012,91906
97,65,Multifamily,69,4,0.05797,2012,91906
98,45,Mobile Home,45,0,0.0,2012,91906
99,1368,Total Units,1392,24,0.01724,2012,91906
100,1274,Single Family - Detached,1301,27,0.02075,2020,91906
101,69,Multifamily,69,0,0.0,2020,91906
102,45,Mobile Home,45,0,0.0,2020,91906
103,1388,Total Units,1415,27,0.01908,2020,91906
104,1302,Single Family - Detached,1325,23,0.01736,2025,91906
105,69,Multifamily,69,0,0.0,2025,91906
106,45,Mobile Home,45,0,0.0,2025,91906
107,1416,Total Units,1439,23,0.01598,2025,91906
108,1335,Single Family - Detached,1361,26,0.0191,2030,91906
109,69,Multifamily,69,0,0.0,2030,91906
110,45,Mobile Home,45,0,0.0,2030,91906
111,1449,Total Units,1475,26,0.01763,2030,91906
112,1369,Single Family - Detached,1391,22,0.01582,2035,91906
113,69,Multifamily,69,0,0.0,2035,91906
114,45,Mobile Home,45,0,0.0,2035,91906
115,1483,Total Units,1505,22,0.01462,2035,91906
116,1382,Single Family - Detached,1411,29,0.02055,2040,91906
117,69,Multifamily,69,0,0.0,2040,91906
118,45,Mobile Home,45,0,0.0,2040,91906
119,1496,Total Units,1525,29,0.01902,2040,91906
120,1397,Single Family - Detached,1431,34,0.02376,2045,91906
121,69,Multifamily,69,0,0.0,2045,91906
122,45,Mobile Home,45,0,0.0,2045,91906
123,1511,Total Units,1545,34,0.02201,2045,91906
124,1574,Single Family - Detached,1611,37,0.02297,2050,91906
125,69,Multifamily,69,0,0.0,2050,91906
126,44,Mobile Home,45,1,0.02222,2050,91906
127,1687,Total Units,1725,38,0.02203,2050,91906
128,14580,Single Family - Detached,15023,443,0.02949,2012,91910
129,10636,Multifamily,11145,509,0.04567,2012,91910
130,1220,Mobile Home,1371,151,0.11014,2012,91910
131,26436,Total Units,27539,1103,0.04005,2012,91910
132,14489,Single Family - Detached,14968,479,0.032,2020,91910
133,10697,Multifamily,11185,488,0.04363,2020,91910
134,1004,Mobile Home,1123,119,0.10597,2020,91910
135,26190,Total Units,27276,1086,0.03982,2020,91910
136,14460,Single Family - Detached,14905,445,0.02986,2025,91910
137,11075,Multifamily,11520,445,0.03863,2025,91910
138,978,Mobile Home,1092,114,0.1044,2025,91910
139,26513,Total Units,27517,1004,0.03649,2025,91910
140,14305,Single Family - Detached,14772,467,0.03161,2030,91910
141,12089,Multifamily,12606,517,0.04101,2030,91910
142,972,Mobile Home,1092,120,0.10989,2030,91910
143,27366,Total Units,28470,1104,0.03878,2030,91910
144,14030,Single Family - Detached,14472,442,0.03054,2035,91910
145,14541,Multifamily,15117,576,0.0381,2035,91910
146,797,Mobile Home,881,84,0.09535,2035,91910
147,29368,Total Units,30470,1102,0.03617,2035,91910
148,14098,Single Family - Detached,14551,453,0.03113,2040,91910
149,15791,Multifamily,16477,686,0.04163,2040,91910
150,644,Mobile Home,700,56,0.08,2040,91910
151,30533,Total Units,31728,1195,0.03766,2040,91910
152,14033,Single Family - Detached,14527,494,0.03401,2045,91910
153,16458,Multifamily,17218,760,0.04414,2045,91910
154,321,Mobile Home,340,19,0.05588,2045,91910
155,30812,Total Units,32085,1273,0.03968,2045,91910
156,14014,Single Family - Detached,14519,505,0.03478,2050,91910
157,17126,Multifamily,17942,816,0.04548,2050,91910
158,273,Mobile Home,293,20,0.06826,2050,91910
159,31413,Total Units,32754,1341,0.04094,2050,91910
160,13954,Single Family - Detached,14211,257,0.01808,2012,91911
161,8758,Multifamily,8944,186,0.0208,2012,91911
162,2161,Mobile Home,2197,36,0.01639,2012,91911
163,24873,Total Units,25352,479,0.01889,2012,91911
164,13914,Single Family - Detached,14204,290,0.02042,2020,91911
165,8853,Multifamily,9047,194,0.02144,2020,91911
166,2038,Mobile Home,2066,28,0.01355,2020,91911
167,24805,Total Units,25317,512,0.02022,2020,91911
168,13940,Single Family - Detached,14196,256,0.01803,2025,91911
169,9061,Multifamily,9230,169,0.01831,2025,91911
170,2036,Mobile Home,2066,30,0.01452,2025,91911
171,25037,Total Units,25492,455,0.01785,2025,91911
172,13928,Single Family - Detached,14192,264,0.0186,2030,91911
173,9304,Multifamily,9485,181,0.01908,2030,91911
174,2024,Mobile Home,2066,42,0.02033,2030,91911
175,25256,Total Units,25743,487,0.01892,2030,91911
176,13881,Single Family - Detached,14128,247,0.01748,2035,91911
177,9476,Multifamily,9647,171,0.01773,2035,91911
178,2026,Mobile Home,2066,40,0.01936,2035,91911
179,25383,Total Units,25841,458,0.01772,2035,91911
180,13816,Single Family - Detached,14088,272,0.01931,2040,91911
181,10625,Multifamily,10851,226,0.02083,2040,91911
182,2017,Mobile Home,2050,33,0.0161,2040,91911
183,26458,Total Units,26989,531,0.01967,2040,91911
184,13786,Single Family - Detached,14093,307,0.02178,2045,91911
185,11168,Multifamily,11418,250,0.0219,2045,91911
186,1966,Mobile Home,2008,42,0.02092,2045,91911
187,26920,Total Units,27519,599,0.02177,2045,91911
188,13654,Single Family - Detached,13962,308,0.02206,2050,91911
189,12034,Multifamily,12318,284,0.02306,2050,91911
190,1901,Mobile Home,1981,80,0.04038,2050,91911
191,27589,Total Units,28261,672,0.02378,2050,91911
192,8334,Single Family - Detached,8492,158,0.01861,2012,91913
193,4118,Multifamily,4290,172,0.04009,2012,91913
194,197,Mobile Home,197,0,0.0,2012,91913
195,12649,Total Units,12979,330,0.02543,2012,91913
196,9668,Single Family - Detached,9887,219,0.02215,2020,91913
197,7771,Multifamily,8111,340,0.04192,2020,91913
198,197,Mobile Home,197,0,0.0,2020,91913
199,17636,Total Units,18195,559,0.03072,2020,91913
200,12072,Single Family - Detached,12297,225,0.0183,2025,91913
201,10177,Multifamily,10553,376,0.03563,2025,91913
202,197,Mobile Home,197,0,0.0,2025,91913
203,22446,Total Units,23047,601,0.02608,2025,91913
204,12069,Single Family - Detached,12297,228,0.01854,2030,91913
205,10177,Multifamily,10553,376,0.03563,2030,91913
206,196,Mobile Home,197,1,0.00508,2030,91913
207,22442,Total Units,23047,605,0.02625,2030,91913
208,12078,Single Family - Detached,12297,219,0.01781,2035,91913
209,10190,Multifamily,10553,363,0.0344,2035,91913
210,196,Mobile Home,197,1,0.00508,2035,91913
211,22464,Total Units,23047,583,0.0253,2035,91913
212,12002,Single Family - Detached,12248,246,0.02008,2040,91913
213,11694,Multifamily,12130,436,0.03594,2040,91913
214,196,Mobile Home,197,1,0.00508,2040,91913
215,23892,Total Units,24575,683,0.02779,2040,91913
216,11987,Single Family - Detached,12261,274,0.02235,2045,91913
217,12395,Multifamily,12852,457,0.03556,2045,91913
218,195,Mobile Home,197,2,0.01015,2045,91913
219,24577,Total Units,25310,733,0.02896,2045,91913
220,11980,Single Family - Detached,12263,283,0.02308,2050,91913
221,12398,Multifamily,12873,475,0.0369,2050,91913
222,191,Mobile Home,197,6,0.03046,2050,91913
223,24569,Total Units,25333,764,0.03016,2050,91913
224,3600,Single Family - Detached,3643,43,0.0118,2012,91914
225,1007,Multifamily,1065,58,0.05446,2012,91914
226,0,Mobile Home,0,0,,2012,91914
227,4607,Total Units,4708,101,0.02145,2012,91914
228,4190,Single Family - Detached,4251,61,0.01435,2020,91914
229,1012,Multifamily,1065,53,0.04977,2020,91914
230,0,Mobile Home,0,0,,2020,91914
231,5202,Total Units,5316,114,0.02144,2020,91914
232,4419,Single Family - Detached,4482,63,0.01406,2025,91914
233,1013,Multifamily,1065,52,0.04883,2025,91914
234,0,Mobile Home,0,0,,2025,91914
235,5432,Total Units,5547,115,0.02073,2025,91914
236,4700,Single Family - Detached,4767,67,0.01405,2030,91914
237,1013,Multifamily,1065,52,0.04883,2030,91914
238,0,Mobile Home,0,0,,2030,91914
239,5713,Total Units,5832,119,0.0204,2030,91914
240,4776,Single Family - Detached,4835,59,0.0122,2035,91914
241,1014,Multifamily,1065,51,0.04789,2035,91914
242,0,Mobile Home,0,0,,2035,91914
243,5790,Total Units,5900,110,0.01864,2035,91914
244,4890,Single Family - Detached,4964,74,0.01491,2040,91914
245,1012,Multifamily,1065,53,0.04977,2040,91914
246,0,Mobile Home,0,0,,2040,91914
247,5902,Total Units,6029,127,0.02106,2040,91914
248,4966,Single Family - Detached,5049,83,0.01644,2045,91914
249,1012,Multifamily,1065,53,0.04977,2045,91914
250,0,Mobile Home,0,0,,2045,91914
251,5978,Total Units,6114,136,0.02224,2045,91914
252,5001,Single Family - Detached,5086,85,0.01671,2050,91914
253,1012,Multifamily,1065,53,0.04977,2050,91914
254,0,Mobile Home,0,0,,2050,91914
255,6013,Total Units,6151,138,0.02244,2050,91914
256,5727,Single Family - Detached,5875,148,0.02519,2012,91915
257,1696,Multifamily,1718,22,0.01281,2012,91915
258,0,Mobile Home,0,0,,2012,91915
259,7423,Total Units,7593,170,0.02239,2012,91915
260,5838,Single Family - Detached,6006,168,0.02797,2020,91915
261,6030,Multifamily,6196,166,0.02679,2020,91915
262,0,Mobile Home,0,0,,2020,91915
263,11868,Total Units,12202,334,0.02737,2020,91915
264,6570,Single Family - Detached,6734,164,0.02435,2025,91915
265,8539,Multifamily,8766,227,0.0259,2025,91915
266,0,Mobile Home,0,0,,2025,91915
267,15109,Total Units,15500,391,0.02523,2025,91915
268,6568,Single Family - Detached,6734,166,0.02465,2030,91915
269,8538,Multifamily,8766,228,0.02601,2030,91915
270,0,Mobile Home,0,0,,2030,91915
271,15106,Total Units,15500,394,0.02542,2030,91915
272,6578,Single Family - Detached,6734,156,0.02317,2035,91915
273,8544,Multifamily,8766,222,0.02533,2035,91915
274,0,Mobile Home,0,0,,2035,91915
275,15122,Total Units,15500,378,0.02439,2035,91915
276,6559,Single Family - Detached,6734,175,0.02599,2040,91915
277,8504,Multifamily,8766,262,0.02989,2040,91915
278,0,Mobile Home,0,0,,2040,91915
279,15063,Total Units,15500,437,0.02819,2040,91915
280,6546,Single Family - Detached,6734,188,0.02792,2045,91915
281,8509,Multifamily,8821,312,0.03537,2045,91915
282,0,Mobile Home,0,0,,2045,91915
283,15055,Total Units,15555,500,0.03214,2045,91915
284,6542,Single Family - Detached,6734,192,0.02851,2050,91915
285,8526,Multifamily,8847,321,0.03628,2050,91915
286,0,Mobile Home,0,0,,2050,91915
287,15068,Total Units,15581,513,0.03292,2050,91915
288,678,Single Family - Detached,676,-2,-0.00296,2012,91916
289,0,Multifamily,2,2,1.0,2012,91916
290,101,Mobile Home,101,0,0.0,2012,91916
291,779,Total Units,779,0,0.0,2012,91916
292,680,Single Family - Detached,710,30,0.04225,2020,91916
293,1,Multifamily,2,1,0.5,2020,91916
294,101,Mobile Home,101,0,0.0,2020,91916
295,782,Total Units,813,31,0.03813,2020,91916
296,701,Single Family - Detached,717,16,0.02232,2025,91916
297,1,Multifamily,2,1,0.5,2025,91916
298,101,Mobile Home,101,0,0.0,2025,91916
299,803,Total Units,820,17,0.02073,2025,91916
300,701,Single Family - Detached,724,23,0.03177,2030,91916
301,1,Multifamily,2,1,0.5,2030,91916
302,101,Mobile Home,101,0,0.0,2030,91916
303,803,Total Units,827,24,0.02902,2030,91916
304,732,Single Family - Detached,755,23,0.03046,2035,91916
305,2,Multifamily,2,0,0.0,2035,91916
306,101,Mobile Home,101,0,0.0,2035,91916
307,835,Total Units,858,23,0.02681,2035,91916
