,households,income_group,ordinal,year,zip
0,0,"Less than $15,000",1,2012,91901
1,0,"$15,000 to $29,999",2,2012,91901
2,0,"$30,000 to $44,999",3,2012,91901
3,0,"$45,000 to $59,999",4,2012,91901
4,0,"$60,000 to $74,999",5,2012,91901
5,0,"$75,000 to $99,999",6,2012,91901
6,0,"$100,000 to $124,999",7,2012,91901
7,0,"$125,000 to $149,999",8,2012,91901
8,0,"$150,000 to $199,999",9,2012,91901
9,0,"$200,000 or more",10,2012,91901
10,0,"Less than $15,000",1,2015,91901
11,0,"$15,000 to $29,999",2,2015,91901
12,0,"$30,000 to $44,999",3,2015,91901
13,0,"$45,000 to $59,999",4,2015,91901
14,0,"$60,000 to $74,999",5,2015,91901
15,0,"$75,000 to $99,999",6,2015,91901
16,0,"$100,000 to $124,999",7,2015,91901
17,0,"$125,000 to $149,999",8,2015,91901
18,0,"$150,000 to $199,999",9,2015,91901
19,0,"$200,000 or more",10,2015,91901
20,0,"Less than $15,000",1,2020,91901
21,0,"$15,000 to $29,999",2,2020,91901
22,0,"$30,000 to $44,999",3,2020,91901
23,0,"$45,000 to $59,999",4,2020,91901
24,0,"$60,000 to $74,999",5,2020,91901
25,0,"$75,000 to $99,999",6,2020,91901
26,0,"$100,000 to $124,999",7,2020,91901
27,0,"$125,000 to $149,999",8,2020,91901
28,0,"$150,000 to $199,999",9,2020,91901
29,0,"$200,000 or more",10,2020,91901
30,0,"Less than $15,000",1,2025,91901
31,0,"$15,000 to $29,999",2,2025,91901
32,0,"$30,000 to $44,999",3,2025,91901
33,0,"$45,000 to $59,999",4,2025,91901
34,0,"$60,000 to $74,999",5,2025,91901
35,0,"$75,000 to $99,999",6,2025,91901
36,0,"$100,000 to $124,999",7,2025,91901
37,0,"$125,000 to $149,999",8,2025,91901
38,0,"$150,000 to $199,999",9,2025,91901
39,0,"$200,000 or more",10,2025,91901
40,0,"Less than $15,000",1,2030,91901
41,0,"$15,000 to $29,999",2,2030,91901
42,0,"$30,000 to $44,999",3,2030,91901
43,0,"$45,000 to $59,999",4,2030,91901
44,0,"$60,000 to $74,999",5,2030,91901
45,0,"$75,000 to $99,999",6,2030,91901
46,0,"$100,000 to $124,999",7,2030,91901
47,0,"$125,000 to $149,999",8,2030,91901
48,0,"$150,000 to $199,999",9,2030,91901
49,0,"$200,000 or more",10,2030,91901
50,0,"Less than $15,000",1,2035,91901
51,0,"$15,000 to $29,999",2,2035,91901
52,0,"$30,000 to $44,999",3,2035,91901
53,0,"$45,000 to $59,999",4,2035,91901
54,0,"$60,000 to $74,999",5,2035,91901
55,0,"$75,000 to $99,999",6,2035,91901
56,0,"$100,000 to $124,999",7,2035,91901
57,0,"$125,000 to $149,999",8,2035,91901
58,0,"$150,000 to $199,999",9,2035,91901
59,0,"$200,000 or more",10,2035,91901
60,0,"Less than $15,000",1,2040,91901
61,0,"$15,000 to $29,999",2,2040,91901
62,0,"$30,000 to $44,999",3,2040,91901
63,0,"$45,000 to $59,999",4,2040,91901
64,0,"$60,000 to $74,999",5,2040,91901
65,0,"$75,000 to $99,999",6,2040,91901
66,0,"$100,000 to $124,999",7,2040,91901
67,0,"$125,000 to $149,999",8,2040,91901
68,0,"$150,000 to $199,999",9,2040,91901
69,0,"$200,000 or more",10,2040,91901
70,0,"Less than $15,000",1,2045,91901
71,0,"$15,000 to $29,999",2,2045,91901
72,0,"$30,000 to $44,999",3,2045,91901
73,0,"$45,000 to $59,999",4,2045,91901
74,0,"$60,000 to $74,999",5,2045,91901
75,0,"$75,000 to $99,999",6,2045,91901
76,0,"$100,000 to $124,999",7,2045,91901
77,0,"$125,000 to $149,999",8,2045,91901
78,0,"$150,000 to $199,999",9,2045,91901
79,0,"$200,000 or more",10,2045,91901
80,0,"Less than $15,000",1,2050,91901
81,0,"$15,000 to $29,999",2,2050,91901
82,0,"$30,000 to $44,999",3,2050,91901
83,0,"$45,000 to $59,999",4,2050,91901
84,0,"$60,000 to $74,999",5,2050,91901
85,0,"$75,000 to $99,999",6,2050,91901
86,0,"$100,000 to $124,999",7,2050,91901
87,0,"$125,000 to $149,999",8,2050,91901
88,0,"$150,000 to $199,999",9,2050,91901
89,0,"$200,000 or more",10,2050,91901
90,0,"Less than $15,000",1,2012,91902
91,0,"$15,000 to $29,999",2,2012,91902
92,0,"$30,000 to $44,999",3,2012,91902
93,0,"$45,000 to $59,999",4,2012,91902
94,0,"$60,000 to $74,999",5,2012,91902
95,0,"$75,000 to $99,999",6,2012,91902
96,0,"$100,000 to $124,999",7,2012,91902
97,0,"$125,000 to $149,999",8,2012,91902
98,0,"$150,000 to $199,999",9,2012,91902
99,0,"$200,000 or more",10,2012,91902
100,0,"Less than $15,000",1,2015,91902
101,0,"$15,000 to $29,999",2,2015,91902
102,0,"$30,000 to $44,999",3,2015,91902
103,0,"$45,000 to $59,999",4,2015,91902
104,0,"$60,000 to $74,999",5,2015,91902
105,0,"$75,000 to $99,999",6,2015,91902
106,0,"$100,000 to $124,999",7,2015,91902
107,0,"$125,000 to $149,999",8,2015,91902
108,0,"$150,000 to $199,999",9,2015,91902
109,0,"$200,000 or more",10,2015,91902
110,0,"Less than $15,000",1,2020,91902
