,category,jobs,year,zip
0,Agriculture and Mining,3,2012,91901
1,Construction,428,2012,91901
2,Manufacturing,18,2012,91901
3,Wholesale Trade,17,2012,91901
4,Retail Trade,589,2012,91901
5,"Transporation, Warehousing, and Utilities",52,2012,91901
6,Information Systems,44,2012,91901
7,Finance and Real Estate,114,2012,91901
8,Professional and Business Services,219,2012,91901
9,Education and Healthcare,384,2012,91901
10,Liesure and Hospitality,333,2012,91901
11,Office Services,84,2012,91901
12,Government,1864,2012,91901
13,Self-Employed,535,2012,91901
14,Total Jobs,4684,2012,91901
15,Agriculture and Mining,2,2020,91901
16,Construction,562,2020,91901
17,Manufacturing,18,2020,91901
18,Wholesale Trade,17,2020,91901
19,Retail Trade,589,2020,91901
20,"Transporation, Warehousing, and Utilities",52,2020,91901
21,Information Systems,44,2020,91901
22,Finance and Real Estate,114,2020,91901
23,Professional and Business Services,345,2020,91901
24,Education and Healthcare,518,2020,91901
25,Liesure and Hospitality,351,2020,91901
26,Office Services,84,2020,91901
27,Government,2098,2020,91901
28,Self-Employed,535,2020,91901
29,Total Jobs,5329,2020,91901
30,Agriculture and Mining,1,2025,91901
31,Construction,562,2025,91901
32,Manufacturing,17,2025,91901
33,Wholesale Trade,17,2025,91901
34,Retail Trade,589,2025,91901
35,"Transporation, Warehousing, and Utilities",52,2025,91901
36,Information Systems,44,2025,91901
37,Finance and Real Estate,114,2025,91901
38,Professional and Business Services,522,2025,91901
39,Education and Healthcare,518,2025,91901
40,Liesure and Hospitality,351,2025,91901
41,Office Services,84,2025,91901
42,Government,2097,2025,91901
43,Self-Employed,535,2025,91901
44,Total Jobs,5503,2025,91901
45,Agriculture and Mining,0,2030,91901
46,Construction,562,2030,91901
47,Manufacturing,16,2030,91901
48,Wholesale Trade,17,2030,91901
49,Retail Trade,589,2030,91901
50,"Transporation, Warehousing, and Utilities",52,2030,91901
51,Information Systems,44,2030,91901
52,Finance and Real Estate,114,2030,91901
53,Professional and Business Services,705,2030,91901
54,Education and Healthcare,518,2030,91901
55,Liesure and Hospitality,351,2030,91901
56,Office Services,84,2030,91901
57,Government,2096,2030,91901
58,Self-Employed,535,2030,91901
59,Total Jobs,5683,2030,91901
60,Agriculture and Mining,0,2035,91901
61,Construction,562,2035,91901
62,Manufacturing,15,2035,91901
63,Wholesale Trade,17,2035,91901
64,Retail Trade,589,2035,91901
65,"Transporation, Warehousing, and Utilities",52,2035,91901
66,Information Systems,44,2035,91901
67,Finance and Real Estate,114,2035,91901
68,Professional and Business Services,930,2035,91901
69,Education and Healthcare,518,2035,91901
70,Liesure and Hospitality,351,2035,91901
71,Office Services,84,2035,91901
72,Government,2095,2035,91901
73,Self-Employed,535,2035,91901
74,Total Jobs,5906,2035,91901
75,Agriculture and Mining,0,2040,91901
76,Construction,562,2040,91901
77,Manufacturing,14,2040,91901
78,Wholesale Trade,17,2040,91901
79,Retail Trade,589,2040,91901
80,"Transporation, Warehousing, and Utilities",52,2040,91901
81,Information Systems,44,2040,91901
82,Finance and Real Estate,114,2040,91901
83,Professional and Business Services,1287,2040,91901
84,Education and Healthcare,518,2040,91901
85,Liesure and Hospitality,351,2040,91901
86,Office Services,84,2040,91901
87,Government,2094,2040,91901
88,Self-Employed,535,2040,91901
89,Total Jobs,6261,2040,91901
90,Agriculture and Mining,0,2045,91901
91,Construction,562,2045,91901
92,Manufacturing,13,2045,91901
93,Wholesale Trade,17,2045,91901
94,Retail Trade,589,2045,91901
95,"Transporation, Warehousing, and Utilities",52,2045,91901
96,Information Systems,44,2045,91901
97,Finance and Real Estate,114,2045,91901
98,Professional and Business Services,1382,2045,91901
99,Education and Healthcare,583,2045,91901
100,Liesure and Hospitality,461,2045,91901
101,Office Services,84,2045,91901
102,Government,2192,2045,91901
103,Self-Employed,535,2045,91901
104,Total Jobs,6628,2045,91901
105,Agriculture and Mining,0,2050,91901
106,Construction,562,2050,91901
107,Manufacturing,12,2050,91901
108,Wholesale Trade,17,2050,91901
109,Retail Trade,589,2050,91901
110,"Transporation, Warehousing, and Utilities",52,2050,91901
111,Information Systems,44,2050,91901
112,Finance and Real Estate,114,2050,91901
113,Professional and Business Services,1460,2050,91901
114,Education and Healthcare,669,2050,91901
115,Liesure and Hospitality,549,2050,91901
116,Office Services,84,2050,91901
117,Government,2329,2050,91901
118,Self-Employed,535,2050,91901
119,Total Jobs,7016,2050,91901
120,Government,555,2045,91902
121,Self-Employed,363,2045,91902
122,Total Jobs,2996,2045,91902
123,Agriculture and Mining,5,2012,91902
124,Construction,165,2012,91902
125,Manufacturing,12,2012,91902
126,Wholesale Trade,70,2012,91902
127,Retail Trade,171,2012,91902
128,"Transporation, Warehousing, and Utilities",10,2012,91902
129,Information Systems,17,2012,91902
130,Finance and Real Estate,253,2012,91902
131,Professional and Business Services,239,2012,91902
132,Education and Healthcare,375,2012,91902
133,Liesure and Hospitality,473,2012,91902
134,Office Services,151,2012,91902
135,Government,523,2012,91902
136,Self-Employed,333,2012,91902
137,Total Jobs,2797,2012,91902
138,Agriculture and Mining,4,2020,91902
139,Construction,185,2020,91902
140,Manufacturing,12,2020,91902
141,Wholesale Trade,70,2020,91902
142,Retail Trade,196,2020,91902
143,"Transporation, Warehousing, and Utilities",10,2020,91902
144,Information Systems,17,2020,91902
145,Finance and Real Estate,259,2020,91902
146,Professional and Business Services,264,2020,91902
147,Education and Healthcare,403,2020,91902
148,Liesure and Hospitality,473,2020,91902
149,Office Services,155,2020,91902
