,median_inc,year,zip
0,80290,2016,91901
1,87540,2016,91902
2,35859,2016,91905
3,38053,2016,91906
4,50274,2016,91910
5,44713,2016,91911
6,80812,2016,91913
7,103833,2016,91914
8,93952,2016,91915
9,86645,2016,91916
10,75227,2016,91917
11,88542,2016,91931
12,43162,2016,91932
13,35625,2016,91934
14,104984,2016,91935
15,64710,2016,91941
16,53835,2016,91942
17,54871,2016,91945
18,89931,2016,91948
19,37235,2016,91950
20,78324,2016,91962
21,35625,2016,91963
22,59343,2016,91977
23,58411,2016,91978
24,45000,2016,91980
25,73411,2016,92003
26,27369,2016,92004
27,102574,2016,92007
28,71004,2016,92008
29,104948,2016,92009
30,80965,2016,92010
31,99474,2016,92011
32,119435,2016,92014
33,69658,2016,92019
34,46739,2016,92020
35,47251,2016,92021
36,96584,2016,92024
37,46524,2016,92025
38,54985,2016,92026
39,54825,2016,92027
40,61657,2016,92028
41,79933,2016,92029
42,49145,2016,92036
43,95596,2016,92037
44,63948,2016,92040
45,49479,2016,92054
46,39005,2016,92055
47,61387,2016,92056
48,61790,2016,92057
49,47924,2016,92058
50,84320,2016,92059
51,40962,2016,92060
52,82870,2016,92061
53,97718,2016,92064
54,80537,2016,92065
55,27333,2016,92066
56,138509,2016,92067
57,53304,2016,92069
58,44706,2016,92070
59,71907,2016,92071
60,98658,2016,92075
61,57553,2016,92078
62,56469,2016,92081
63,88849,2016,92082
64,48857,2016,92083
65,50931,2016,92084
66,32545,2016,92086
67,136557,2016,92091
68,117857,2016,92093
69,80290,2016,91901
70,87540,2016,91902
71,35859,2016,91905
72,38053,2016,91906
73,50274,2016,91910
74,44713,2016,91911
75,80812,2016,91913
76,103833,2016,91914
77,93952,2016,91915
78,86645,2016,91916
79,75227,2016,91917
80,88542,2016,91931
81,43162,2016,91932
82,35625,2016,91934
83,104984,2016,91935
84,64710,2016,91941
85,53835,2016,91942
86,54871,2016,91945
87,89931,2016,91948
88,37235,2016,91950
89,78324,2016,91962
90,35625,2016,91963
91,59343,2016,91977
92,58411,2016,91978
93,45000,2016,91980
94,73411,2016,92003
95,27369,2016,92004
96,102574,2016,92007
97,71004,2016,92008
98,104948,2016,92009
99,80965,2016,92010
100,99474,2016,92011
101,119435,2016,92014
102,69658,2016,92019
103,46739,2016,92020
104,47251,2016,92021
105,96584,2016,92024
106,46524,2016,92025
107,54985,2016,92026
108,54825,2016,92027
109,61657,2016,92028
110,79933,2016,92029
111,49145,2016,92036
112,95596,2016,92037
113,63948,2016,92040
114,49479,2016,92054
115,39005,2016,92055
116,61387,2016,92056
117,61790,2016,92057
118,47924,2016,92058
119,84320,2016,92059
120,40962,2016,92060
121,82870,2016,92061
122,97718,2016,92064
123,80537,2016,92065
124,27333,2016,92066
125,138509,2016,92067
126,53304,2016,92069
127,44706,2016,92070
128,71907,2016,92071
129,98658,2016,92075
130,57553,2016,92078
131,56469,2016,92081
132,88849,2016,92082
133,48857,2016,92083
134,50931,2016,92084
135,32545,2016,92086
136,136557,2016,92091
137,117857,2016,92093
138,80290,2016,91901
139,87540,2016,91902
140,35859,2016,91905
141,38053,2016,91906
142,50274,2016,91910
143,44713,2016,91911
144,80812,2016,91913
145,103833,2016,91914
146,93952,2016,91915
147,86645,2016,91916
148,75227,2016,91917
149,88542,2016,91931
150,43162,2016,91932
151,35625,2016,91934
152,104984,2016,91935
153,64710,2016,91941
154,53835,2016,91942
155,54871,2016,91945
156,89931,2016,91948
157,37235,2016,91950
158,78324,2016,91962
159,35625,2016,91963
160,59343,2016,91977
161,58411,2016,91978
162,45000,2016,91980
163,73411,2016,92003
164,27369,2016,92004
165,102574,2016,92007
166,71004,2016,92008
167,104948,2016,92009
168,80965,2016,92010
169,99474,2016,92011
170,119435,2016,92014
171,69658,2016,92019
172,46739,2016,92020
173,47251,2016,92021
174,96584,2016,92024
175,46524,2016,92025
176,54985,2016,92026
177,54825,2016,92027
178,61657,2016,92028
179,79933,2016,92029
180,49145,2016,92036
181,95596,2016,92037
182,63948,2016,92040
183,49479,2016,92054
184,39005,2016,92055
185,61387,2016,92056
186,61790,2016,92057
187,47924,2016,92058
188,84320,2016,92059
189,40962,2016,92060
190,82870,2016,92061
191,97718,2016,92064
192,80537,2016,92065
193,27333,2016,92066
194,138509,2016,92067
195,53304,2016,92069
196,44706,2016,92070
197,71907,2016,92071
198,98658,2016,92075
199,57553,2016,92078
200,56469,2016,92081
201,88849,2016,92082
202,48857,2016,92083
203,50931,2016,92084
204,32545,2016,92086
205,136557,2016,92091
206,117857,2016,92093
207,55550,2016,92101
208,37982,2016,92102
209,71150,2016,92103
210,47137,2016,92104
211,33133,2016,92105
212,82875,2016,92106
213,71387,2016,92107
214,62905,2016,92108
215,66037,2016,92109
216,62002,2016,92110
217,55568,2016,92111
218,26627,2016,92113
219,54054,2016,92114
220,41628,2016,92115
221,53930,2016,92116
222,66282,2016,92117
223,93193,2016,92118
224,69859,2016,92119
225,81499,2016,92120
226,90318,2016,92121
227,71785,2016,92122
228,68788,2016,92123
229,76563,2016,92124
230,83082,2016,92126
231,117083,2016,92127
232,86869,2016,92128
233,107501,2016,92129
234,124460,2016,92130
235,119576,2016,92131
236,128125,2016,92135
237,56742,2016,92139
238,275000,2016,92145
239,56228,2016,92154
240,71250,2016,92155
241,32901,2016,92173
242,27656,2016,92536
243,38963,2016,92672
