,Zip Code,Lat,Lng,Florists,Bicycle Store,Spa,Spa Avg Rating,Resturaunts Avg Rating,Resturaunts,Synagogue,Veterinary_Care,Church,Mosque,Supermarket
0,91910,32.6385134,-117.0617553,9,1,13,,,17,1,6,20,0,6
1,92126,32.9184763,-117.1382404,3,1,9,,,17,0,7,12,3,8
2,91911,32.6059744,-117.0441009,9,3,3,,,18,0,12,13,1,9
3,92109,32.7920948,-117.2323367,10,14,20,,,17,0,11,20,0,3
4,92101,32.7269669,-117.1647094,18,9,20,,,16,1,13,19,0,7
5,92021,32.8324351,-116.8792553,2,0,1,,,17,0,0,1,0,3
6,92154,32.5967198,-116.9028125,0,0,0,,,0,0,0,0,0,0
7,92104,32.7398671,-117.1205925,16,7,19,,,18,1,16,20,0,12
8,92115,32.7612759,-117.0735241,7,2,19,,,16,3,9,20,3,9
9,92105,32.7348953,-117.0970596,8,1,15,,,18,0,4,20,4,11
10,92122,32.8563846,-117.2029363,6,0,14,,,15,2,13,7,0,5
11,92130,32.9436607,-117.2088167,4,1,5,,,13,4,7,4,0,1
12,92117,32.8250767,-117.2029363,11,4,20,,,19,1,8,19,0,6
13,92128,33.0013938,-117.0735241,1,2,13,,,15,4,12,13,0,2
14,92020,32.79632220000001,-116.9675814,6,3,13,,,19,0,15,20,1,12
15,92056,33.192168,-117.3028803,10,2,13,,,17,0,10,11,0,4
16,92071,32.8678728,-116.9970153,1,1,4,,,16,0,1,3,0,3
17,92024,33.052083,-117.2793685,16,7,16,,,16,0,20,18,0,5
18,92057,33.260081,-117.2793685,5,1,0,,,17,0,2,4,0,2
19,92103,32.749789,-117.1676501,15,5,20,,,15,1,17,20,0,7
20,91977,32.7215291,-116.9970153,6,0,8,,,17,0,3,20,0,2
21,92037,32.8283259,-117.255854,15,4,20,,,16,0,11,4,0,1
22,92078,33.1158665,-117.185294,0,0,15,,,13,0,11,2,0,2
23,92026,33.2156978,-117.1147095,0,0,2,,,0,0,0,0,0,0
24,92129,32.9657005,-117.1147095,4,0,6,,,17,0,5,10,0,1
25,92114,32.7040143,-117.0499859,1,0,3,,,16,0,1,20,0,2
26,91942,32.7749487,-117.0146736,14,2,20,,,16,0,19,20,2,3
27,92111,32.8256427,-117.1558867,11,7,20,,,19,1,18,20,2,11
28,92027,33.1467885,-117.0087877,0,0,1,,,0,0,0,0,0,0
29,92028,33.3826505,-117.2440957,7,4,4,,,19,0,4,20,0,2
30,92116,32.7679176,-117.1235339,18,5,20,,,18,1,14,20,0,13
31,91950,32.6721599,-117.0970596,9,1,3,,,17,0,3,20,0,16
32,92009,33.095442,-117.2499749,3,1,7,,,17,1,14,4,0,0
33,92064,32.9799762,-117.0087877,0,0,4,,,6,0,6,2,0,0
34,92054,33.1924489,-117.3675233,7,9,11,,,17,0,5,20,0,9
35,92127,33.0227476,-117.1382404,0,2,1,,,17,0,2,1,0,0
